"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Chúng tôi đã phát hiện ra bạn đã có tài khoản tại cửa hàng của chúng tôi. Tài khoản Google của bạn bây giờ là kết nối với tài khoản lưu trữ của bạn."
"Sorry, could not retrieve your Google first name. Please try again.","Xin lỗi, không thể lấy tên Google của bạn. Xin vui lòng thử lại."
"Sorry, could not retrieve your Google last name. Please try again.","Xin lỗi, không thể lấy họ của bạn qua Google. Xin vui lòng thử lại."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Tài khoản Google của bạn bây giờ là kết nối với accout người dùng mới của bạn tại cửa hàng của chúng tôi. Bây giờ bạn có thể đăng nhập bằng cách sử dụng nút Google kết nối của chúng tôi hoặc bằng cách sử dụng thông tin đăng nhập tài khoản cửa hàng bạn sẽ nhận được đến địa chỉ email của bạn."
"You have successfully disconnected your Twitter account from our store account.","You have successfully disconnected your Twitter account from our store account."
"Twitter Connect process aborted.","Twitter Connect process aborted."
"Your Twitter account is already connected to one of our store accounts.","Your Twitter account is already connected to one of our store accounts."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address."
"You have successfully logged in using your Twitter account.","You have successfully logged in using your Twitter account."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","We have discovered you already have an account at our store. Your Twitter account is now connected to your store account."
"Sorry, could not retrieve your Twitter last name. Please try again.","Sorry, could not retrieve your Twitter last name. Please try again."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>."
"Google Connect","Kết nối Google "
"Facebook Connect","Kết nối Facebook"
"Twitter Connect","Kết nối Connect"
"Customer My Account Google Connect","Tài khoản Google của tôi"
"Customer My Account Facebook Connect","Tài khoản Facebook của tôi "
"Customer My Account Twitter Connect","Tài khảon Twitter của tôi"
"Connected as %s","Connected as %s"
"Email: %s","Email: %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Giới tính: %s"
"Birthday: %s","Ngày sinh: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Bạn có thể kết nối tài khoản lưu trữ với tài khoản Facebook của bạn vì vậy bạn có thể đăng nhập dễ dàng hơn trong tương lai."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","Bạn có thể kết nối tài khoản lưu trữ với tài khoản Google của bạn vì vậy bạn có thể đăng nhập dễ dàng hơn trong tương lai."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","Bạn có thể kết nối tài khoản lưu trữ với tài khoản Twitter của bạn vì vậy bạn có thể đăng nhập dễ dàng hơn trong tương lai."
"You can continue with checkout using your <strong>Google</strong> account.","Bạn có thể tiếp tục thanh toán sử dụng tài khoản <strong>Google</strong> ."
"You can continue with checkout using your <strong>Facebook</strong> account.","Bạn có thể tiếp tục thanh toán sử dụng tài khoản <strong>Facebook</strong> ."
"You can continue with checkout using your <strong>Twitter</strong> account.","Bạn có thể tiếp tục thanh toán sử dụng tài khoản <strong>Twitter</strong>."
"You can login using your Google account.","Bạn có thể đăng nhập sử dụng tài khoản Google của bạn."
"You can login using your Facebook account.","Bạn có thể đăng nhập sử dụng tài khoản Facebook của bạn."
"You can login using your Twitter account.","Bạn có thể đăng nhập sử dụng tài khoản Twitter của bạn."
"You can register using your Google account.","Bạn có thể đăng ký sử dụng tài khoản Google của bạn."
"You can register using your Facebook account.","Bạn có thể đăng ký sử dụng tài khoản Facebook của bạn."
"You can register using your Twitter account.","Bạn có thể đăng ký sử dụng tài khoản Twitter của bạn."
